capturing trace... done
TRACE:
# tracer: nop
#
# entries-in-buffer/entries-written: 15207/15207   #P:4
#
#                                      _-----=> irqs-off
#                                     / _----=> need-resched
#                                    | / _---=> hardirq/softirq
#                                    || / _--=> preempt-depth
#                                    ||| /     delay
#           TASK-PID    TGID   CPU#  ||||    TIMESTAMP  FUNCTION
#              | |        |      |   ||||       |         |
          atrace-10118 (10118) [003] ...1  6203.263308: tracing_mark_write: trace_event_clock_sync: parent_ts=3539.973145
          atrace-10118 (10118) [003] ...1  6203.263321: tracing_mark_write: trace_event_clock_sync: realtime_ts=1321013411790
         mmcqd/1-1371  ( 1371) [000] ...1  6203.264389: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] .Ns2  6203.264800: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.264988: mmc_blk_rw_start: cmd=25,addr=0x013e6198,size=0x00000010
          <idle>-0     (-----) [000] .Ns2  6203.265217: mmc_blk_rw_end: cmd=25,addr=0x013e6198,size=0x00000010
         mmcqd/1-1371  ( 1371) [000] ...1  6203.267605: mmc_blk_rw_start: cmd=25,addr=0x008e2910,size=0x00000010
          <idle>-0     (-----) [000] ..s2  6203.267988: mmc_blk_rw_end: cmd=25,addr=0x008e2910,size=0x00000010
         mmcqd/1-1371  ( 1371) [000] ...1  6203.270092: mmc_blk_rw_start: cmd=25,addr=0x008e2920,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.271633: mmc_blk_rw_end: cmd=25,addr=0x008e2920,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.272509: mmc_blk_rw_start: cmd=25,addr=0x013e73e8,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.272751: mmc_blk_rw_end: cmd=25,addr=0x013e73e8,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.274906: mmc_blk_rw_start: cmd=25,addr=0x013e43a0,size=0x00000008
          <idle>-0     (-----) [000] ..s2  6203.275426: mmc_blk_rw_end: cmd=25,addr=0x013e43a0,size=0x00000008
         mmcqd/1-1371  ( 1371) [000] ...1  6203.275523: mmc_blk_rw_start: cmd=25,addr=0x0135f270,size=0x00000008
          <idle>-0     (-----) [000] .Ns2  6203.275824: mmc_blk_rw_end: cmd=25,addr=0x0135f270,size=0x00000008
          <idle>-0     (-----) [000] d.h2  6203.276861: i915_reg_rw: read reg=0x44408, len=4, val=(0x9, 0x0)
          <idle>-0     (-----) [000] d.h2  6203.276863: i915_reg_rw: write reg=0x44408, len=4, val=(0x9, 0x0)
          <idle>-0     (-----) [000] dNh6  6203.276891: i915_reg_rw: write reg=0x44404, len=4, val=(0x6fffe077, 0x0)
          <idle>-0     (-----) [000] dNh5  6203.276894: i915_reg_rw: read reg=0x70040, len=4, val=(0x33a8b, 0x0)
          <idle>-0     (-----) [000] dNh5  6203.276897: i915_reg_rw: read reg=0x70040, len=4, val=(0x33a8b, 0x0)
