ext4 start
ext4 stopped
('pid =>', '9323', 'tname =>', 'Thread-232')
('start_cmd', './get_ftrace_io.sh ext4_start')
('stop_cmd', './get_ftrace_io.sh ext4_stop')
thread, filename, pos, length
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 20480, 4096
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 0, 28
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 0, 512
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 512, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 516, 3580
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4096, 516
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4612, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4616, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4620, 3572
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 8192, 524
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 8716, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 0, 12
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 20480, 4096
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 0, 28
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 0, 512
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 512, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 516, 3580
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4096, 516
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4612, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4616, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4620, 3572
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 8192, 524
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 8716, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 0, 12
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 20480, 4096
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 0, 28
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 0, 512
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 512, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 516, 3580
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4096, 516
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4612, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4616, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4620, 3572
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 8192, 524
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 8716, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 0, 12
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 20480, 4096
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 0, 28
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 0, 512
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 512, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 516, 3580
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4096, 516
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4612, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4616, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4620, 3572
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 8192, 524
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 8716, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 0, 12
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 20480, 4096
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 0, 28
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 0, 512
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 512, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 516, 3580
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4096, 516
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4612, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4616, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4620, 3572
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 8192, 524
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 8716, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 0, 12
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 20480, 4096
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 0, 28
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 0, 512
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 512, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 516, 3580
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4096, 516
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4612, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4616, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4620, 3572
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 8192, 524
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 8716, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 0, 12
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 20480, 4096
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 0, 28
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 0, 512
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 512, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 516, 3580
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4096, 516
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4612, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4616, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4620, 3572
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 8192, 524
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 8716, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 0, 12
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 0, 4096
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db, 20480, 4096
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 0, 28
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 0, 512
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 512, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 516, 3580
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4096, 516
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4612, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4616, 4
Thread-232-9323, /data/data/com.redlicense.benchmark.sqlite/databases/rlbencmark.db-journal, 4620, 3572
