Block_Device File Inode Blocks
/dev/block/mmcblk0p9 /cache 179:9 start=8720384 size=204800 bsize=4096 ssize=512 dmpoint=None
/dev/block/mmcblk0p8 /vendor 179:8 start=5648384 size=3072000 bsize=4096 ssize=512 dmpoint=None
/dev/block/mmcblk0p12 /config 179:12 start=60938240 size=16384 bsize=4096 ssize=512 dmpoint=None
/dev/block/mmcblk0p7 /system 179:7 start=405504 size=5242880 bsize=4096 ssize=512 dmpoint=None
/dev/block/mmcblk0p10 /data 179:10 start=8925184 size=52011008 bsize=4096 ssize=512 dmpoint=/dev/block/dm-0
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/libc.so" 813 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/amtl_cherrytrail_XMM_7260.cfg" 363 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_SRVCC_GERAN_UTRAN_off.tlv" 670 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libdrmframework.so" 1118 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/atomisp/00gc2235.aiqb" 117 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_ATT_fast_detach_enable.tlv" 655 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/atomisp/01gc0339.aiqb" 187 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libia_log.so" 993 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/ipu4_isys_bxt_fw_a0.bin" 520 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/catalog/7262_V2_CMCC_dataonly/FGI_Rel9.xml" 414 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/atomisp/00ov5670_th10_0_coho.aiqb" 156 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libnfc_ndef.so" 1150 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libgesture.so" 976 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/mmgr_7360_conf_1.xml" 466 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libstagefright_foundation.so" 1174 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libpng.so" 1156 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/atomisp/00ov5648-chiphd8_0_coho.aiqb" 146 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/libimc-subsystem.so" 1294 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libsensorhub.so" 1048 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/rril_2230_conf_1.txt" 470 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/rril_7260_conf_3.txt" 482 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/firmware/gnss/MECPU_NORM_5_GNSS_2.2.ptc" 307 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/atomisp/00imx175.aiqb" 128 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/libsonivox.so" 870 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/mmgr_7260_conf_8.xml" 465 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/hw/hwcomposer.gmin.so" 1245 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/amtl_moorefield_XMM_7260.cfg" 376 
/dev/block/mmcblk0p8 179:8 "/vendor/bin/mmgr_am.sh" 95 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/libmdmcli.so" 1304 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/firmware/gnss/CPCPU_GNCPRAM_5_GNSS_2.1.ptc" 271 
/dev/block/mmcblk0p8 179:8 "/vendor/pittpatt/models/detection/yaw_roll_face_detectors.7.1/head-y0-yi45-p0-pi45-r0-ri30.4a-v24-tree7-2-wmd.bin" 1361 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libigfxcmjit.so" 1009 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/mmgr_7160_conf_3.xml" 452 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/hw/sensors.gmin.so" 1246 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/firmware/gnss/MECPU_SSF_5_GNSS_2.2.ssf" 313 
/dev/block/mmcblk0p8 179:8 "/vendor/bin/crashlogd" 74 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/nb/libjnigraphics.so" 917 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libcontextarbitor.so" 969 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/binfmt_misc/arm64_dyn" 239 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/catalog/7260_V2_NA_EU/lte_tdd_coexistence_config.xml" 391 
/dev/block/mmcblk0p8 179:8 "/vendor/bin/logcatext" 91 
/dev/block/mmcblk0p8 179:8 "/vendor/intel/validation/core/igt/tools/registers/vlv_dsi.txt" 766 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/XMM7160_CONF_8.xml" 342 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/arm/libstagefright_foundation.so" 878 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/libstagefright_soft_vorbisdec_mdp.so" 1336 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_ATT_FGI_Rel9.tlv" 647 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libgsmgr.so" 981 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/catalog/7260_V2_NA_EU/B13_freq_swwp_change.xml" 388 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/telephony/catalog/7360_V2_CMCC/7360_Hw_Sw_Revision_overlay.xml" 428 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/libI420colorconvert.so" 1250 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/nb/libc.so" 1202 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/libigdrcl.so" 1006 
/dev/block/mmcblk0p8 179:8 "/vendor/intel/validation/core/igt/tools/registers/common_display.txt" 751 
/dev/block/mmcblk0p8 179:8 "/vendor/etc/firmware/gnss/CONFIG_5_GNSS_2.0_PROD.cfg" 263 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_ATT_ENS_support_enabled.tlv" 644 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_7260_family.tlv" 635 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_7160_RF_antenna_switch_command.tlv" 629 
/dev/block/mmcblk0p8 179:8 "/vendor/lib64/arm64/libEGL.so" 1082 
/dev/block/mmcblk0p8 179:8 "/vendor/firmware/telephony/2048_sim_detection_deactivate.tlv" 704 
/dev/block/mmcblk0p8 179:8 "/vendor/intel/validation/core/igt/tools/registers/valleyview" 763 
/dev/block/mmcblk0p8 179:8 "/vendor/lib/clbltfng9.rtl" 931 
